S_No,Grade,Sex,Age,Literacy mean,Number Recognition mean,Addition Mean,Subtraction mean,Multiplication mean,Division mean,school_code
557,Class 6,Female,11.0,3,4,3,3,3,3,18
558,Class 6,Male,10.0,4,4,3,3,3,0,18
559,Class 5,Male,10.0,3,3,2,1,0,0,18
560,Class 5,Female,10.0,3,3,2,1,0,0,18
561,Class 5,Male,13.0,2,2,1,1,0,0,18
562,Class 5,Female,11.0,2,0,1,1,1,0,18
563,Class 2,Male,8.0,1,0,0,0,0,0,23
564,Class 2,Male,8.0,1,0,0,0,0,0,23
565,Class 2,Female,8.0,1,1,0,0,0,0,23
566,Class 2,Female,8.0,1,0,0,0,0,0,23
567,Class 4,Male,12.0,2,4,3,3,3,2,23
568,Class 4,Male,12.0,3,4,3,3,3,2,23
569,Class 4,Female,11.0,1,3,1,1,2,2,23
570,Class 4,Female,11.0,1,0,0,0,0,0,23
571,Class 6,Female,11.0,4,4,3,1,2,2,23
572,Class 6,Male,13.0,4,4,3,3,3,2,23
573,Class 6,Female,14.0,4,4,2,1,2,2,23
574,Class 6,Male,15.0,4,3,3,1,2,2,23
575,Class 1,Female,6.0,1,1,1,0,0,0,24
576,Class 1,Male,6.0,0,0,0,0,0,0,24
577,Class 1,Female,7.0,0,1,0,0,0,0,24
578,Class 1,Female,6.0,0,0,0,0,0,0,24
579,Class 3,Male,8.0,1,2,2,1,0,0,24
580,Class 3,Male,7.0,1,2,1,0,0,0,24
581,Class 3,Female,8.0,1,1,1,0,0,0,24
582,Class 3,Female,9.0,1,1,0,0,0,0,24
583,Class 3,Male,9.0,2,2,1,1,0,0,24
584,Class 3,Female,10.0,1,2,0,0,0,0,24
585,Class 3,Male,10.0,1,2,0,0,0,0,24
586,Class 3,Female,7.0,1,1,1,1,0,0,24
587,Class 4 ,Female,10.0,1,1,1,0,0,0,24
588,Class 4 ,Male,11.0,1,2,1,1,0,0,24
589,Class 4 ,Female,9.0,2,3,2,1,0,0,24
590,Class 4 ,Male,10.0,2,3,2,1,2,1,24
591,Class 5,Male,10.0,2,4,2,1,1,0,24
592,Class 5,Male,12.0,2,4,2,1,1,0,24
593,Class 5,Female,12.0,2,3,2,1,1,0,24
594,Class 5,Female,10.0,2,4,3,3,1,0,24
595,Class 5,Male,0.0,0,0,0,0,0,0,24
596,Class 6,Male,13.0,3,4,3,1,1,0,24
597,Class 6,Female,12.0,2,4,2,3,1,0,24
598,Class 6,Male,12.0,2,4,2,1,1,1,24
599,Class 6,Female,,2,2,2,1,1,0,24
600,Class 1,Male,6.0,0,2,0,0,0,0,25
601,Class 1,Male,7.0,1,1,0,0,0,0,25
602,Class 1,Female,,2,2,1,1,0,0,25
603,Class 1,Female,7.0,0,0,0,0,0,0,25
604,Class 2,Male,8.0,2,2,1,1,0,0,25
605,Class 2,Female,7.0,2,2,1,1,0,0,25
606,Class 2,Male,8.0,2,2,1,1,0,0,25
607,Class 2,Female,8.0,1,2,0,0,0,2,25
608,Class 3,Female,9.0,2,4,2,1,0,0,25
609,Class 3,Female,7.0,3,3,2,1,1,0,25
610,Class 3,Male,8.0,1,4,3,3,1,0,25
611,Class 3,Male,10.0,1,3,1,1,0,0,25
612,Class 4,Female,7.0,2,4,3,3,1,0,25
613,Class 4,Male,9.0,2,4,2,1,1,0,25
614,Class 4,Male,9.0,3,4,1,1,0,0,25
615,Class 4,Female,10.0,3,4,2,3,1,0,25
616,Class 5,Male,10.0,2,4,2,1,1,0,25
617,Class 5,Male,12.0,2,4,3,1,1,0,25
618,Class 5,Female,9.0,4,4,3,1,1,0,25
619,Class 5,Female,,3,4,2,1,1,0,25
620,Class 6,Female,9.0,3,4,2,1,1,0,25
621,Class 6,Male,12.0,3,4,2,1,1,0,25
622,Class 6,Female,14.0,3,4,3,3,1,0,25
623,Class 6,Male,12.0,3,4,2,1,0,0,25
624,Class 1,Female,6.0,0,0,0,0,0,0,26
625,Class 1,Female,6.0,0,0,0,0,0,0,26
626,Class 1,Female,6.0,0,0,0,0,0,0,26
627,Class 1,Male,,0,0,0,0,0,0,26
628,Class 1,Male,,0,0,0,0,0,0,26
629,Class 2,Male,6.0,0,0,0,0,0,0,26
630,Class 2,Female,7.0,0,0,0,0,0,0,26
631,Class 2,Female,7.0,2,2,2,1,2,2,26
632,Class 2,Male,8.0,0,0,0,0,0,0,26
633,Class 3,Male,13.0,2,2,3,1,1,1,26
634,Class 3,Male,12.0,0,2,1,0,0,0,26
635,Class 3,Female,12.0,0,1,0,0,0,0,26
636,Class 3,Female,9.0,1,3,1,0,0,0,26
637,Class 4,Male,9.0,0,3,1,1,0,0,26
638,Class 4,Male,9.0,0,1,1,0,0,0,26
639,Class 4,Female,10.0,0,1,0,0,0,0,26
640,Class 4,Female,10.0,1,1,0,0,0,0,26
641,Class 5,Female,10.0,2,4,3,1,2,2,26
642,Class 5,Female,11.0,1,4,2,1,2,2,26
643,Class 5,Male,11.0,2,4,2,1,2,3,26
644,Class 5,Male,9.0,2,3,1,0,1,1,26
645,Class 6,Female,11.0,3,4,3,1,2,2,26
646,Class 6,Male,13.0,3,2,2,1,2,1,26
647,Class 6,Female,11.0,3,4,3,1,2,2,26
648,Class 6,Male,13.0,3,4,3,3,3,2,26
649,Class 1,Male,8.0,0,0,0,0,0,0,23
650,Class 1,Female,6.0,0,0,0,0,0,0,23
651,Class 1,Male,6.0,0,0,0,0,0,0,23
652,Class 1,Female,6.0,0,0,0,0,0,0,23
653,Class 3,Female,7.0,1,2,0,0,0,0,23
654,Class 3,Female,10.0,2,2,0,0,0,0,23
655,Class 3,Male,10.0,2,3,1,1,0,0,23
656,Class 3,Male,8.0,2,2,1,1,1,0,23
657,Class 5,Male,,1,2,1,1,0,0,23
658,Class 5,Female,10.0,3,4,2,1,1,1,23
659,Class 5,Male,11.0,3,3,2,1,1,0,23
660,Class 5,Female,11.0,3,4,2,1,1,0,23
661,Class 2,Male,9.0,0,1,1,0,0,0,27
662,Class 2,Female,5.0,0,1,1,0,0,0,27
663,Class 2,Male,9.0,1,2,0,0,0,0,27
664,Class 2,Female,7.0,2,2,1,1,0,0,27
665,Class 3,Male,9.0,2,3,2,0,0,0,27
666,Class 3,Male,10.0,2,2,2,1,0,0,27
667,Class 3,Male,10.0,2,2,2,1,1,0,27
668,Class 3,Female,10.0,2,2,2,0,1,0,27
669,Class 4,Female,,3,2,2,1,1,1,27
670,Class 4,Female,8.0,3,2,2,1,2,2,27
671,Class 4,Male,11.0,3,2,2,1,2,2,27
672,Class 4,Male,11.0,3,2,2,3,2,2,27
673,Class 5,Male,12.0,3,3,2,1,2,2,27
674,Class 5,Male,9.0,3,3,2,3,2,2,27
675,Class 5,Male,12.0,4,4,3,1,2,2,27
676,Class 5,Male,12.0,4,4,2,3,3,2,27
677,Class 1,Female,7.0,0,0,0,0,0,0,28
678,Class 1,Female,6.0,0,0,0,0,0,0,28
679,Class 1,Male,6.0,0,0,0,0,0,0,28
680,Class 1,Male,5.0,0,0,0,0,0,0,28
681,Class 2,Male,7.0,0,0,0,0,0,0,28
682,Class 2,Male,8.0,1,1,0,0,0,0,28
683,Class 2,Female,6.0,0,1,0,0,0,0,28
684,Class 2,Female,10.0,1,1,1,0,0,0,28
685,Class 3,Female,8.0,1,2,0,0,0,0,28
686,Class 3,Male,11.0,1,1,1,0,0,0,28
687,Class 3,Female,12.0,1,3,1,1,0,0,28
688,Class 3,Male,11.0,2,2,1,1,1,0,28
689,Class 4,Female,11.0,2,4,1,1,1,1,28
690,Class 4,Female,12.0,3,4,2,1,1,1,28
691,Class 4,Male,11.0,2,3,2,1,1,0,28
692,Class 4,Male,13.0,1,4,2,1,1,0,28
693,Class 5,Female,11.0,1,2,1,0,0,0,28
694,Class 5,Male,15.0,2,4,1,0,0,0,28
695,Class 5,Female,12.0,2,4,2,1,1,1,28
696,Class 5,Male,14.0,2,4,1,1,0,0,28
697,Class 6,Female,11.0,1,2,1,1,0,0,28
698,Class 6,Male,12.0,3,4,3,3,2,2,28
699,Class 6,Male,12.0,3,4,2,1,1,1,28
700,Class 6,Female,15.0,3,4,3,1,1,2,28
701,Class 6,Female,13.0,3,3,3,1,1,1,28
702,Class 2,Female,5.0,0,0,0,0,0,0,29
703,Class 2,Male,6.0,0,0,0,0,0,0,29
704,Class 2,Male,5.0,0,0,0,0,0,0,29
705,Class 2,Female,5.0,0,1,1,0,0,0,29
706,Class 1,Male,5.0,1,0,0,0,0,0,29
707,Class 1,Male,5.0,0,0,0,0,0,0,29
708,Class 1,Female,6.0,0,0,0,0,0,0,29
709,Class 1,Female,5.0,0,0,0,0,0,0,29
710,Class 1,Female,0.0,0,3,2,3,2,0,29
711,Class 3,Male,8.0,1,1,1,1,1,0,29
712,Class 3,Male,9.0,1,2,2,0,0,0,29
713,Class 3,Female,9.0,1,1,1,0,0,0,29
714,Class 3,Female,10.0,1,1,1,0,0,0,29
715,Class 4,Female,11.0,2,2,2,1,1,1,29
716,Class 4,Female,10.0,2,2,2,1,0,0,29
717,Class 4,Male,10.0,1,2,2,1,2,0,29
718,Class 4,Male,11.0,1,2,2,1,0,0,29
719,Class 5,Male,12.0,2,2,2,1,1,1,29
720,Class 5,Female,10.0,2,2,2,1,1,0,29
721,Class 5,Male,13.0,2,2,2,1,1,0,29
722,Class 5,Male,11.0,2,2,2,1,1,0,29
723,Class 6,Male,13.0,2,2,2,1,0,0,29
724,Class 6,Male,11.0,2,2,2,1,2,0,29
725,Class 6,Female,13.0,2,2,2,1,2,1,29
726,Class 6,Female,12.0,2,2,2,1,2,0,29
727,Class 1,Male,5.0,1,1,1,1,1,1,30
728,Class 1,Female,5.0,0,0,0,0,0,0,30
729,Class 1,Female,5.0,1,1,0,0,0,0,30
730,Class 1,Male,5.0,1,1,0,0,0,0,30
731,Class 2,Male,7.0,1,1,1,1,1,1,30
732,Class 2,Male,6.0,1,1,1,1,1,1,30
733,Class 2,Female,6.0,1,1,1,1,1,1,30
734,Class 2,Female,6.0,1,1,1,1,1,1,30
735,Class 3,Female,7.0,2,2,2,1,1,1,30
736,Class 3,Male,10.0,2,2,2,1,2,2,30
737,Class 3,Female,8.0,1,1,1,1,1,1,30
738,Class 3,Male,7.0,2,2,2,1,1,1,30
739,Class 4,Female,10.0,2,2,2,1,1,1,30
740,Class 4,Female,9.0,1,1,1,1,1,1,30
741,Class 4,Male,9.0,1,1,1,0,0,0,30
742,Class 4,Male,9.0,1,1,1,0,0,0,30
743,Class 5,Male,10.0,2,2,2,1,2,2,30
744,Class 5,Male,10.0,2,1,1,1,1,1,30
745,Class 5,Female,11.0,1,0,0,0,0,0,30
746,Class 5,Female,10.0,1,1,1,0,0,0,30
747,Class 6,Male,11.0,2,1,1,1,1,1,30
748,Class 6,Male,11.0,3,2,2,1,1,1,30
749,Class 6,Female,10.0,2,2,2,1,2,2,30
750,Class 6,Female,10.0,2,2,2,1,0,0,30
751,Class 4,Male,9.0,2,4,0,0,0,0,31
752,Class 4,Male,9.0,2,1,0,0,0,0,31
753,Class 4,Female,12.0,2,2,1,0,0,0,31
754,Class 4,Female,12.0,2,1,0,0,0,0,31
755,Class 4,Male,12.0,2,4,3,1,1,0,31
756,Class 4,Male,12.0,2,2,0,0,0,0,31
757,Class 4,Female,13.0,3,3,1,1,1,1,31
758,Class 4,Female,13.0,2,4,1,1,0,0,31
759,Class 4,Male,15.0,3,4,3,3,2,1,31
760,Class 4,Male,16.0,3,4,2,3,3,2,31
761,Class 4,Female,13.0,3,4,3,3,2,2,31
762,Class 4,Female,13.0,2,4,3,3,1,1,31
763,Class 4,Male,142.0,2,2,2,1,1,1,32
764,Class 4,Male,12.0,2,3,3,1,1,0,32
765,Class 4,Female,12.0,2,1,3,1,1,0,32
766,Class 4,Female,122.0,2,1,1,1,1,1,32
767,Class 4,Male,9.0,2,3,3,3,3,2,32
768,Class 4,Male,12.0,4,4,3,3,3,2,32
769,Class 4,Female,10.0,2,2,2,1,2,2,32
770,Class 4,Female,10.0,2,2,2,1,2,2,32
771,Class 4,Male,10.0,3,3,3,3,3,1,32
772,Class 4,Male,12.0,4,4,3,3,3,2,32
773,Class 4,Female,12.0,3,2,3,1,2,2,32
774,Class 4,Female,12.0,3,4,3,3,2,2,32
775,Class 3,Female,8.0,1,0,0,0,0,0,33
776,Class 3,Male,8.0,1,0,0,0,0,0,33
777,Class 3,Female,8.0,1,0,0,0,0,0,33
778,Class 3,Male,9.0,0,0,0,0,0,0,33
779,Class 4,Male,11.0,1,1,1,1,1,1,33
780,Class 4,Male,12.0,2,1,1,1,1,1,33
781,Class 4,Female,10.0,1,0,0,0,0,0,33
782,Class 4,Female,12.0,1,0,0,1,2,2,33
783,Class 5,Male,12.0,2,3,2,1,2,1,33
784,Class 5,Male,12.0,1,1,1,1,1,1,33
785,Class 5,Male,12.0,1,4,1,1,1,1,33
786,Class 5,Female,10.0,0,2,0,0,0,0,33
787,Class 5,Male,,2,3,1,1,1,1,34
788,Class 5,Male,12.0,3,2,2,1,2,0,34
789,Class 5,Male,10.0,2,4,2,1,2,2,34
790,Class 5,Male,12.0,4,4,3,3,2,2,34
791,Class 4,Male,15.0,1,3,1,1,1,1,34
792,Class 4,Female,9.0,1,0,0,0,0,0,34
793,Class 4,Male,10.0,1,0,0,0,0,0,34
794,Class 4,Female,10.0,1,0,0,0,0,0,34
795,Class 6,Female,11.0,4,4,2,1,2,2,35
796,Class 6,Female,11.0,1,1,1,0,1,1,35
797,Class 6,Female,12.0,3,2,2,1,2,2,35
798,Class 6,Male,13.0,4,4,1,1,1,1,35
799,Class 4,Male,11.0,2,4,3,1,2,2,35
800,Class 4,Male,14.0,2,1,1,0,0,0,35
801,Class 4,Female,14.0,2,4,2,1,2,2,35
802,Class 4,Female,11.0,4,4,2,1,2,2,35
803,Class 3,Male,11.0,2,3,2,1,2,2,35
804,Class 3,Male,10.0,1,1,1,1,1,1,35
805,Class 3,Male,10.0,1,1,1,1,1,1,35
806,Class 3,Female,14.0,1,3,1,1,0,0,35
807,Class 3,Male,11.0,1,3,0,0,2,2,35
808,Class 1,Male,9.0,0,0,0,0,0,0,33
809,Class 1,Female,11.0,0,0,0,0,0,0,33
810,Class 1,Female,6.0,0,0,0,0,0,0,33
811,Class 1,Male,6.0,0,0,0,0,0,0,33
812,Class 2,Female,7.0,0,1,0,0,0,0,33
813,Class 2,Male,7.0,1,1,0,0,0,0,33
814,Class 2,Male,8.0,0,1,0,0,0,0,33
815,Class 2,Male,9.0,1,1,0,0,0,0,33
816,Class 6,Female,,1,2,0,0,0,0,33
817,Class 6,Male,14.0,1,3,1,1,0,0,33
818,Class 6,Female,14.0,1,2,1,1,0,0,33
819,Class 6,Male,12.0,2,4,2,1,1,0,33
820,Class 1,Female,6.0,0,0,0,0,0,0,34
821,Class 1,Female,6.0,0,0,0,0,0,0,34
822,Class 1,Male,6.0,0,0,0,0,0,0,34
823,Class 1,Male,9.0,1,1,0,0,0,0,34
824,Class 2,Male,7.0,1,1,0,0,0,0,34
825,Class 2,Female,9.0,1,1,1,0,0,0,34
826,Class 2,Female,6.0,0,0,0,0,0,0,34
827,Class 2,Male,7.0,1,0,0,0,0,0,34
828,Class 3,Male,8.0,1,1,0,0,0,0,34
829,Class 3,Male,11.0,1,2,1,0,0,0,34
830,Class 3,Male,11.0,1,1,0,0,0,0,34
831,Class 3,Male,9.0,0,0,0,0,0,0,34
832,Class 1,Male,6.0,0,0,0,0,0,0,35
833,Class 1,Female,8.0,1,1,0,0,0,0,35
834,Class 1,Female,7.0,0,1,0,0,0,0,35
835,Class 1,Female,6.0,0,0,0,0,0,0,35
836,Class 2,Male,7.0,1,1,0,0,0,0,35
837,Class 2,Male,7.0,0,1,0,0,0,0,35
838,Class 2,Female,7.0,1,0,0,0,0,0,35
839,Class 2,Female,8.0,1,1,0,0,0,0,35
840,Class 5,Female,12.0,2,2,1,1,0,0,35
841,Class 5,Female,10.0,2,3,1,1,1,0,35
842,Class 5,Male,12.0,2,3,2,1,0,0,35
843,Class 5,Male,12.0,2,4,2,1,1,0,35
844,Class 6,Male,13.0,3,3,1,1,1,0,36
845,Class 6,Male,13.0,3,4,2,1,2,2,36
846,Class 6,Female,13.0,2,3,1,1,1,0,36
847,Class 6,Female,15.0,1,3,1,1,0,0,36
848,Class 5,Male,7.0,2,3,1,1,0,0,36
849,Class 5,Male,13.0,2,3,2,1,2,2,36
850,Class 5,Female,12.0,2,2,2,1,0,0,36
851,Class 5,Female,14.0,2,2,1,0,0,0,36
852,Class 4,Male,12.0,1,4,1,1,1,0,36
853,Class 4,Male,10.0,1,0,0,0,0,0,36
854,Class 4,Male,10.0,1,0,0,0,0,0,36
855,Class 1,Male,6.0,0,0,0,0,0,0,36
856,Class 1,Male,5.0,0,0,0,0,0,0,36
857,Class 1,Male,5.0,0,0,0,0,0,0,36
858,Class 1,Male,5.0,0,0,0,0,0,0,36
859,Class 2,Male,8.0,1,1,0,0,0,0,36
860,Class 2,Male,8.0,0,0,0,0,0,0,36
861,Class 2,Female,7.0,0,0,0,0,0,0,36
862,Class 2,Female,6.0,0,0,0,0,0,0,36
863,Class 3,Male,15.0,1,3,1,1,0,0,36
864,Class 3,Female,11.0,1,1,0,0,0,0,36
865,Class 3,Male,8.0,0,1,1,0,0,0,36
866,Class 3,Female,7.0,1,1,0,0,0,0,36
867,Class 1,Male,7.0,0,0,0,0,0,0,37
868,Class 1,Male,7.0,0,0,0,0,0,0,37
869,Class 1,Male,7.0,1,1,1,0,0,0,37
870,Class 1,Male,7.0,1,1,0,0,0,0,37
871,Class 2,Male,10.0,2,1,1,0,0,0,37
872,Class 2,Male,11.0,1,1,1,1,0,0,37
873,Class 2,Male,7.0,2,0,1,0,0,0,37
874,Class 2,Male,9.0,2,1,1,0,0,0,37
875,Class 3,Female,9.0,2,2,1,1,0,0,37
876,Class 3,Male,10.0,2,1,1,1,0,0,37
877,Class 3,Female,9.0,2,2,1,1,1,1,37
878,Class 3,Male,8.0,2,2,1,1,0,0,37
879,Class 4,Male,8.0,3,2,2,1,2,0,37
880,Class 4,Male,9.0,2,2,2,1,1,1,37
881,Class 4,Female,9.0,2,2,2,1,1,0,37
882,Class 4,Male,14.0,3,4,2,1,1,0,37
883,Class 5,Male,11.0,4,4,3,1,1,1,37
884,Class 5,Male,11.0,4,4,2,1,2,1,37
885,Class 5,Male,12.0,2,4,2,1,1,1,37
886,Class 5,Female,12.0,1,1,1,1,1,0,37
887,Class 6,Female,11.0,3,4,2,3,2,1,37
888,Class 6,Female,11.0,4,4,2,1,2,2,37
889,Class 6,Male,12.0,4,4,3,3,2,2,37
890,Class 6,Male,12.0,4,4,3,1,3,2,37
891,Class 1,Male,5.0,1,1,1,0,0,0,38
892,Class 1,Female,5.0,1,1,0,0,0,0,38
893,Class 1,Female,6.0,2,1,1,0,0,0,38
894,Class 1,Male,6.0,1,0,0,0,0,0,38
895,Class 2,Female,7.0,1,1,1,0,1,0,38
896,Class 2,Male,8.0,1,1,1,1,0,0,38
897,Class 2,Female,8.0,1,1,1,0,0,0,38
898,Class 2,Male,7.0,1,1,1,0,0,0,38
899,Class 3,Female,9.0,2,2,2,1,0,0,38
900,Class 3,Male,9.0,1,1,1,1,1,1,38
901,Class 3,Male,9.0,1,1,1,1,1,1,38
902,Class 3,Male,8.0,2,2,2,1,1,1,38
903,Class 4,Female,12.0,2,2,2,1,1,1,38
904,Class 4,Male,11.0,2,2,2,1,1,1,38
905,Class 4,Female,10.0,2,2,2,1,0,0,38
906,Class 4,Male,11.0,2,3,2,0,1,0,38
907,Class 5,Female,12.0,2,3,3,1,1,1,38
908,Class 5,Male,13.0,2,3,3,1,2,0,38
909,Class 5,Female,10.0,2,3,2,0,1,0,38
910,Class 5,Male,13.0,2,3,2,1,1,0,38
911,Class 6,Male,13.0,2,3,3,1,2,2,38
912,Class 6,Female,12.0,2,3,2,1,2,0,38
913,Class 6,Female,12.0,2,3,2,1,2,1,38
914,Class 6,Male,13.0,2,3,2,1,0,0,38
915,Class 5,Female,11.0,0,1,1,0,0,0,39
916,Class 5,Female,11.0,2,2,2,0,0,0,39
917,Class 5,Male,11.0,2,4,2,3,2,2,39
918,Class 5,Male,11.0,3,3,2,1,2,2,39
919,Class 4,Female,12.0,0,2,2,1,2,0,39
920,Class 4,Male,12.0,1,2,2,1,0,0,39
921,Class 4,Male,12.0,2,2,0,0,0,0,39
922,Class 3,Female,8.0,0,1,1,0,0,0,39
923,Class 3,Female,8.0,2,2,1,1,0,0,39
924,Class 3,Male,10.0,2,2,1,1,1,2,39
925,Class 3,Male,8.0,2,2,2,1,1,1,39
926,Class 1,Female,5.0,1,1,1,0,0,0,39
927,Class 1,Female,6.0,1,1,1,0,0,0,39
928,Class 1,Male,6.0,1,1,1,0,0,0,39
929,Class 1,Male,7.0,1,1,0,0,0,0,39
930,Class 2,Female,8.0,2,2,1,1,0,0,39
931,Class 2,Female,8.0,2,2,1,1,0,0,39
932,Class 2,Male,10.0,2,2,1,1,0,0,39
933,Class 2,Male,10.0,2,1,1,1,0,0,39
934,Class 6,,14.0,4,4,3,3,3,2,39
935,Class 6,Female,13.0,3,4,3,3,3,2,39
936,Class 6,Male,12.0,3,4,3,3,3,2,39
937,Class 6,Female,13.0,3,4,3,3,3,2,39
938,Class 1,Female,12.0,2,1,0,0,0,0,31
939,Class 1,Male,11.0,2,1,0,0,0,0,31
940,Class 1,Female,9.0,1,0,1,1,1,0,31
941,Class 1,Male,10.0,1,1,0,0,0,0,31
942,Class 2,Male,7.0,0,0,0,0,0,0,31
943,Class 2,Female,8.0,1,1,1,0,0,0,31
944,Class 2,Female,7.0,1,1,1,0,0,0,31
945,Class 2,Male,8.0,0,1,0,0,0,0,31
946,Class 1,Male,7.0,0,0,0,0,0,0,31
947,Class 1,Male,8.0,1,1,0,0,0,0,31
948,Class 1,Female,8.0,1,1,0,0,0,0,31
949,Class 1,Female,6.0,0,0,0,0,0,0,31
950,Class 1,Female,6.0,1,1,0,0,0,0,32
951,Class 1,Female,6.0,1,1,1,1,1,0,32
952,Class 1,Male,7.0,1,1,1,1,0,0,32
953,Class 1,Male,7.0,1,1,1,1,0,0,32
954,Class 3,Female,9.0,1,1,1,1,1,0,32
955,Class 3,Female,7.0,2,2,2,1,2,1,32
956,Class 3,Male,7.0,2,2,2,1,1,0,32
957,Class 3,Male,7.0,2,2,1,1,1,0,32
958,Class 2,Female,8.0,1,1,1,1,0,0,32
959,Class 2,Male,7.0,1,1,1,1,0,0,32
960,Class 2,Female,7.0,1,1,1,1,0,0,32
961,Class 2,Male,7.0,1,1,1,1,0,0,32
962,Class 6,Female,14.0,2,3,0,1,0,0,40
963,Class 6,Female,14.0,1,1,1,1,0,0,40
964,Class 6,Male,13.0,4,4,3,3,2,1,40
965,Class 6,Male,13.0,4,4,3,3,3,2,40
966,Class 6,Male,15.0,2,4,3,3,1,2,40
967,Class 6,Male,14.0,2,4,3,3,1,2,40
968,Class 6,Female,11.0,0,2,0,0,0,0,40
969,Class 6,Female,10.0,3,4,3,3,3,2,40
970,Class 6,Female,12.0,1,2,1,1,1,0,40
971,Class 6,Female,12.0,1,1,0,0,0,0,40
972,Class 6,Male,12.0,2,4,3,3,2,1,40
973,Class 6,Male,12.0,3,4,3,3,3,2,40
974,Class 6,Female,11.0,2,1,1,1,1,0,40
975,Class 6,Female,12.0,1,1,1,0,0,0,40
976,Class 6,Male,12.0,2,4,3,3,1,1,40
977,Class 6,Male,12.0,2,4,3,3,1,1,40
978,Class 6,Female,11.0,0,0,0,0,0,0,40
979,Class 6,Female,13.0,1,1,1,1,1,1,40
980,Class 6,Male,12.0,1,2,1,1,1,1,40
981,Class 6,Male,9.0,1,1,1,1,1,1,40
982,Class 6,Female,9.0,0,0,0,0,0,0,40
983,Class 6,Female,6.0,1,1,1,0,0,0,40
984,Class 6,Male,10.0,1,1,1,1,0,0,40
985,Class 6,Male,9.0,0,0,0,0,0,0,40
986,Class 1,Male,5.0,1,1,1,0,0,0,41
987,Class 1,Male,6.0,0,1,0,0,0,0,41
988,Class 1,Female,5.0,1,1,0,0,0,0,41
989,Class 1,Female,5.0,1,1,0,0,0,0,41
990,Class 2,Male,6.0,0,1,0,0,0,0,41
991,Class 2,Male,6.0,1,1,1,0,0,0,41
992,Class 2,Female,6.0,1,1,1,0,0,0,41
993,Class 2,Female,7.0,1,1,1,0,0,0,41
994,Class 3,Male,9.0,2,1,2,0,0,0,41
995,Class 3,Male,9.0,1,1,1,1,1,1,41
996,Class 3,Female,10.0,2,2,2,1,1,1,41
997,Class 3,Female,10.0,2,2,2,1,0,0,41
998,Class 4,Male,11.0,2,2,2,1,1,0,41
999,Class 4,Male,9.0,2,2,1,0,0,0,41
1000,Class 4,Female,10.0,2,3,3,1,1,0,41
1001,Class 4,Female,12.0,2,2,2,0,0,0,41
1002,Class 5,Male,11.0,2,2,2,1,0,0,41
1003,Class 5,Male,12.0,2,2,2,1,0,0,41
1004,Class 5,Female,11.0,1,1,0,0,0,0,41
1005,Class 5,Female,12.0,1,1,1,0,0,0,41
1006,Class 6,Male,13.0,2,2,2,1,1,0,41
1007,Class 6,Male,12.0,2,2,2,1,0,0,41
1008,Class 6,Female,12.0,2,3,2,1,2,0,41
1009,Class 6,Female,13.0,2,3,3,1,2,1,41
1010,Class 1,Male,6.0,0,1,0,0,0,0,42
1011,Class 1,Male,7.0,0,0,0,0,0,0,42
1012,Class 1,Female,6.0,0,0,0,0,0,0,42
1013,Class 1,Female,6.0,0,0,0,0,0,0,42
1014,Class 1,Male,1.0,0,0,0,0,0,0,42
1015,Class 2,Female,7.0,0,0,0,0,0,0,42
1016,Class 2,Male,7.0,0,0,0,0,0,0,42
1017,Class 2,Female,8.0,0,0,0,0,0,0,42
1018,Class 2,Male,7.0,1,2,1,1,0,0,42
1019,Class 3,Female,8.0,0,0,1,0,0,0,42
1020,Class 3,Female,8.0,1,1,1,0,0,0,42
1021,Class 3,Male,8.0,2,2,1,1,0,0,42
1022,Class 3,Male,9.0,0,1,1,1,0,0,42
1023,Class 4,Male,9.0,1,2,0,0,0,0,42
1024,Class 4,Male,9.0,1,3,2,1,0,0,42
1025,Class 4,Female,11.0,2,4,1,1,0,0,42
1026,Class 4,Female,9.0,2,2,1,1,0,0,42
1027,Class 5,Female,11.0,2,2,2,1,0,0,42
1028,Class 5,Female,11.0,2,4,2,1,0,0,42
1029,Class 5,Male,12.0,2,3,1,1,0,0,42
1030,Class 5,Male,11.0,3,4,3,3,1,0,42
1031,Class 6,Female,13.0,2,4,2,1,0,0,42
1032,Class 6,Male,13.0,2,4,2,1,1,0,42
1033,Class 6,Male,15.0,4,4,3,3,1,1,42
1034,Class 6,Female,13.0,3,4,2,1,1,0,42
1035,Class 5,Male,15.0,3,4,1,1,1,0,43
1036,Class 5,Female,10.0,3,3,1,1,2,0,43
1037,Class 5,Male,11.0,1,4,1,1,0,0,43
1038,Class 5,Female,10.0,2,3,1,1,0,0,43
1039,Class 1,Female,8.0,1,1,0,0,0,0,43
1040,Class 1,Male,7.0,0,1,0,0,0,0,43
1041,Class 1,Female,7.0,0,1,0,0,0,0,43
1042,Class 1,Male,9.0,1,1,0,0,0,0,43
1043,Class 2,Female,7.0,1,1,0,0,0,0,43
1044,Class 2,Male,6.0,1,1,0,0,0,0,43
1045,Class 2,Male,8.0,1,3,1,1,0,0,43
1046,Class 2,Female,7.0,1,1,0,0,0,0,43
1047,Class 3,Female,10.0,2,2,1,1,0,0,43
1048,Class 3,Male,10.0,2,2,1,1,0,0,43
1049,Class 3,,9.0,2,3,2,1,0,0,43
1050,Class 3,Male,9.0,1,1,1,1,0,0,43
1051,Class 4,Female,9.0,2,2,1,1,0,0,43
1052,Class 4,Male,9.0,2,3,1,1,0,0,43
